Thread   Start(us)  B/E     Dur(us)  Name/Detail
   259  2156845835  BEG         683  VerifyKernels
   259  2156846518  END         683  VerifyKernels
   259  2156846518  BEG        5352  LowerSemanticCF
   259  2156851871  END        5352  LowerSemanticCF
   259  2156851874  BEG       68819  CheckLifetimes
   259  2156853952  BEG          13  (A) SymbolTableAnalysis
   259  2156853965  END          13  (A) SymbolTableAnalysis
   259  2156920693  END       68819  CheckLifetimes
   259  2159292660  BEG        3042  AnnotateKernels
   259  2159295702  END        3042  AnnotateKernels
   259  2159295706  BEG         616  VerifyKernels
   259  2159296323  END         616  VerifyKernels
   259  2159296323  BEG        5237  LowerSemanticCF
   259  2159301561  END        5237  LowerSemanticCF
   259  2159301563  BEG       77703  CheckLifetimes
   259  2159303702  BEG          14  (A) SymbolTableAnalysis
   259  2159303716  END          14  (A) SymbolTableAnalysis
   259  2159379267  END       77703  CheckLifetimes
   259  2160828064  BEG        2727  AnnotateKernels
   259  2160830792  END        2727  AnnotateKernels
   259  2160830796  BEG         647  VerifyKernels
   259  2160831443  END         647  VerifyKernels
   259  2160831445  BEG        4517  LowerSemanticCF
   259  2160835962  END        4517  LowerSemanticCF
   259  2160835963  BEG       60023  CheckLifetimes
   259  2160837800  BEG          12  (A) SymbolTableAnalysis
   259  2160837813  END          12  (A) SymbolTableAnalysis
   259  2160895986  END       60023  CheckLifetimes
   259  2164200879  BEG        2918  AnnotateKernels
   259  2164203797  END        2918  AnnotateKernels
   259  2164203799  BEG         619  VerifyKernels
   259  2164204419  END         619  VerifyKernels
   259  2164204420  BEG        4993  LowerSemanticCF
   259  2164209414  END        4993  LowerSemanticCF
   259  2164209415  BEG       69563  CheckLifetimes
   259  2164211468  BEG          13  (A) SymbolTableAnalysis
   259  2164211481  END          13  (A) SymbolTableAnalysis
   259  2164278978  END       69563  CheckLifetimes
   259  2165549898  BEG        2984  AnnotateKernels
   259  2165552883  END        2984  AnnotateKernels
   259  2165552884  BEG         673  VerifyKernels
   259  2165553558  END         673  VerifyKernels
   259  2165553558  BEG        5242  LowerSemanticCF
   259  2165558800  END        5242  LowerSemanticCF
   259  2165558803  BEG       62792  CheckLifetimes
   259  2165560992  BEG          13  (A) SymbolTableAnalysis
   259  2165561006  END          13  (A) SymbolTableAnalysis
   259  2165621596  END       62792  CheckLifetimes
   259  2171392767  BEG        2762  AnnotateKernels
   259  2171395529  END        2762  AnnotateKernels
   259  2171395530  BEG         583  VerifyKernels
   259  2171396113  END         583  VerifyKernels
   259  2171396114  BEG        4867  LowerSemanticCF
   259  2171400981  END        4867  LowerSemanticCF
   259  2171400984  BEG       62033  CheckLifetimes
   259  2171402883  BEG          12  (A) SymbolTableAnalysis
